1553,1,D,2015-12-18 09:11:56,0.69
1553,1,D,2015-12-18 09:11:56,0.69
1553,1,I,2015-12-18 09:11:56,0.69
1553,1,I,2015-12-18 09:11:56,0.08
1599,1,I,2015-12-18 09:17:48,0.10
1553,1,D,2015-12-18 09:17:48,0.69
1553,1,I,2015-12-18 09:17:48,0.69
1553,1,D,2015-12-18 09:17:48,0.69
1553,1,I,2015-12-18 09:17:48,0.69
1599,1,D,2015-12-18 10:57:22,0.10
1599,1,I,2015-12-18 10:57:22,0.10
1601,1,I,2015-12-18 10:57:22,0.50
1553,1,D,2015-12-18 10:57:22,0.69
1553,1,D,2015-12-18 10:57:22,0.69
1553,1,I,2015-12-18 10:57:22,0.69
1553,1,I,2015-12-18 10:57:22,0.69
1601,1,D,2015-12-18 12:58:55,0.50
1601,1,I,2015-12-18 12:58:55,0.50
1599,1,D,2015-12-18 12:58:55,0.10
1599,1,I,2015-12-18 12:58:55,0.10
1602,1,I,2015-12-18 12:58:55,0.27
1553,1,D,2015-12-18 12:58:55,0.69
1553,1,D,2015-12-18 12:58:55,0.69
1553,1,I,2015-12-18 12:58:55,0.69
1553,1,I,2015-12-18 12:58:55,0.69